dataset,model,epsilon,run_name,used_seeds,missing_seeds,n_seeds,losses_in_n,losses_in_shapiro_w,losses_in_shapiro_p,losses_in_anderson_a2,losses_in_anderson_crit_5pct,losses_in_anderson_decision_5pct,losses_in_gaussian_mean,losses_in_gaussian_std,losses_out_n,losses_out_shapiro_w,losses_out_shapiro_p,losses_out_anderson_a2,losses_out_anderson_crit_5pct,losses_out_anderson_decision_5pct,losses_out_gaussian_mean,losses_out_gaussian_std
cifar10_half,cnn,2.0,cifar10_half_cnn_eps2.0,"5,6,7,8,9",,5,500,0.9967949197183857,0.42821895388493314,0.24459738694270072,0.781,fail_to_reject_normality,-5.563964854955673,1.2703413008253495,500,0.995035032557947,0.10878803132847359,0.635895411341437,0.781,fail_to_reject_normality,-6.023100270748138,1.2774211464857599
cifar10_half,cnn,4.38,cifar10_half_cnn_eps4.38,"5,6,7,8,9",,5,500,0.9911443695402057,0.0043455105799444825,1.314969215017527,0.781,reject_normality,-5.240715357780457,0.885121854573067,500,0.9970485278847336,0.5068797078099457,0.4751050342741223,0.781,fail_to_reject_normality,-5.8751152634620665,0.8726534274685505
cifar10_half,cnn,6.57,cifar10_half_cnn_eps6.57,"5,6,7,8,9",,5,500,0.9892275882778365,0.0009841589476513998,1.8206047720667584,0.781,reject_normality,-5.165897216796875,0.7408664013073217,500,0.996702314355158,0.40153308679316485,0.4987332967917837,0.781,fail_to_reject_normality,-5.848865416526794,0.7396213560565096
cifar10_half,cnn,10.0,cifar10_half_cnn_eps10.0,"5,6,7,8,9",,5,500,0.9853086633096381,6.131431418542827e-05,2.47884393288939,0.781,reject_normality,-5.120402160644531,0.640025513436986,500,0.9936937533387367,0.035315740027610516,0.8603610244447282,0.781,reject_normality,-5.833460582733155,0.6521000576375909
cifar10_half,cnn,17.85,cifar10_half_cnn_eps17.85,"5,6,7,8,9",,5,500,0.9774255483425209,5.484486211842371e-07,3.4556503730949544,0.781,reject_normality,-5.0872611079216,0.5626079756340056,500,0.9839599108990483,2.5396490704199224e-05,2.141578067827936,0.781,reject_normality,-5.823571608543396,0.5878701943568782
mnist_half,cnn,2.0,mnist_half_cnn_eps2.0,"5,6,7,8,9",,5,500,0.9965150373226122,0.3511711353737752,0.5093529933492391,0.781,fail_to_reject_normality,-3.135300483226776,0.3538488489483109,500,0.9969465833112322,0.47433309163669435,0.35940584077883386,0.781,fail_to_reject_normality,-3.2798235945701597,0.3560248196801504
mnist_half,cnn,4.38,mnist_half_cnn_eps4.38,"5,6,7,8,9",,5,500,0.9964687375229698,0.3394785226431056,0.5749094099446665,0.781,fail_to_reject_normality,-3.0874055690765383,0.1775616908342436,500,0.9975419413041466,0.6761594006880957,0.354592530670061,0.781,fail_to_reject_normality,-3.231137465953827,0.17635828295454217
mnist_half,cnn,6.57,mnist_half_cnn_eps6.57,"5,6,7,8,9",,5,500,0.9964152438089872,0.32634492337082077,0.5835381482695539,0.781,fail_to_reject_normality,-3.080467071533203,0.12584477181410966,500,0.997673903298265,0.7222808129708915,0.3362964676466049,0.781,fail_to_reject_normality,-3.224173237323761,0.12451477127114217
mnist_half,cnn,10.0,mnist_half_cnn_eps10.0,"5,6,7,8,9",,5,500,0.9963874629270036,0.3196828396167022,0.5906712974605739,0.781,fail_to_reject_normality,-3.077364929676056,0.08895546238552127,500,0.9976678281574913,0.7201746885593504,0.32898175347588676,0.781,fail_to_reject_normality,-3.221166446208954,0.08775205817601996
mnist_half,cnn,17.85,mnist_half_cnn_eps17.85,"5,6,7,8,9",,5,500,0.9963417445987413,0.3089542545469832,0.5949505100102215,0.781,fail_to_reject_normality,-3.0759240007400512,0.05630715898643161,500,0.9975806890571949,0.689763759121551,0.335181834482114,0.781,fail_to_reject_normality,-3.219740085601807,0.05545289020970621
