delta,alpha,estimated_renyi,last_epoch_estimate,theoretical_renyi,abs_error,best_epoch
0.5,2.0,0.05674600601196289,0.05674600601196289,0.25,0.1932539939880371,200
0.5,5.0,-0.10807734727859497,-0.4418027400970459,0.625,0.733077347278595,1
0.5,10.0,0.17946362495422363,-0.2194535732269287,1.25,1.0705363750457764,1
2.0,2.0,0.30068397521972656,0.30068397521972656,4.0,3.6993160247802734,200
2.0,5.0,0.0381850004196167,0.034273505210876465,10.0,9.961814999580383,180
2.0,10.0,0.17846417427062988,0.17846417427062988,20.0,19.82153582572937,200
5.0,2.0,0.7819609642028809,0.7819609642028809,25.0,24.21803903579712,200
5.0,5.0,0.6666545867919922,0.6666545867919922,62.5,61.83334541320801,200
5.0,10.0,0.7497649192810059,0.7497649192810059,125.0,124.250235080719,200
